time,lat,long,mag,deep,location
2017/9/9 15:48,38.75,74.95,4.1,6,新疆克孜勒苏州阿克陶县
2017/9/9 23:58,33.29,103.75,3,10,四川阿坝州九寨沟县
2017/9/10 3:04,39.94,115.88,2.1,0,北京门头沟区
2017/9/10 22:41,35.59,116.85,3.6,18,山东济宁市兖州市
2017/9/11 1:18,41.88,82.47,3.2,7,新疆阿克苏地区拜城县
2017/9/11 5:40,57.03,-33.57,5.8,10,雷克雅内斯海岭
2017/9/11 10:25,24.77,122.09,3.4,87,台湾宜兰县海域
2017/9/11 23:53,41.87,123.9,2.6,0,辽宁抚顺市顺城区（矿震）
2017/9/12 0:35,28.93,105.42,3.6,2,四川泸州市龙马潭区
2017/9/12 2:39,38.29,74.21,3,159,塔吉克斯坦
2017/9/12 18:40,27.92,101.42,3.2,13,四川凉山州木里县
2017/9/12 19:25,27.91,101.39,3,15,四川凉山州木里县
2017/9/12 19:26,27.93,101.42,4.4,13,四川凉山州木里县
2017/9/13 7:59,33.26,103.81,3.3,23,四川阿坝州九寨沟县
2017/9/14 9:27,26.65,100.21,3,11,云南大理州鹤庆县
2017/9/15 13:43,37.46,115.01,2.9,5,河北邢台市宁晋县
2017/9/16 18:11,42.11,83.43,5.7,6,新疆阿克苏地区库车县
2017/9/16 18:29,42.14,83.38,3.6,7,新疆阿克苏地区库车县
2017/9/16 21:01,27.77,100.78,3.1,13,四川凉山州盐源县
2017/9/18 6:39,23.52,121.71,3.8,21,台湾花莲县海域
2017/9/18 23:37,33.23,103.77,2.8,11,四川阿坝州九寨沟县
2017/9/18 23:54,40.82,77.32,3.7,22,新疆克孜勒苏州阿合奇县
2017/9/19 19:32,39.77,118.42,2.1,13,河北唐山市古冶区
2017/9/20 0:39,42.07,83.44,3.1,5,新疆阿克苏地区库车县
2017/9/20 1:12,41.24,87.28,3.3,5,新疆巴音郭楞州尉犁县
2017/9/20 2:14,18.58,-98.47,7.1,50,墨西哥
2017/9/20 4:18,37.33,141.68,5.3,40,日本本州东岸近海
2017/9/20 22:29,23.35,121.85,5.5,15,台湾花莲县海域
2017/9/21 0:37,37.93,144.73,6,10,日本本州东岸海域
2017/9/21 4:09,-18.75,169.1,6.4,205,瓦努阿图群岛
2017/9/21 6:04,38.43,74.07,3,128,塔吉克斯坦
2017/9/21 10:17,46.95,90.83,3.2,6,新疆阿勒泰地区青河县
2017/9/21 11:28,44.28,82.34,3.2,15,新疆博尔塔拉州精河县
