year,day,dayTran,time,lat,long,mag,deep,location
2017,6/6,42892,22:18:59,43.36,82.19,3,7,新疆伊犁州巩留县
2017,6/8,42894,8:56:53,33.54,91.19,4.6,10,青海省海西州唐古拉地区
2017,6/8,42894,12:31:50,33.57,91.13,4.4,10,青海省海西州唐古拉地区
2017,6/9,42895,21:17:40,28.12,104.86,3.4,10,四川宜宾市珙县
2017,6/9,42895,21:56:17,33.85,120.34,3.2,15,江苏盐城市射阳县
2017,6/9,42895,23:33:21,33.44,88.12,3.4,8,西藏那曲地区双湖县
2017,6/10,42896,10:04:48,40.98,74.81,3,8,吉尔吉斯斯坦
2017,6/12,42898,0:28:36,20.15,110.07,2.3,15,广东湛江市徐闻县海域
2017,6/12,42898,20:28:39,38.96,26.24,6.4,10,爱琴海
2017,6/12,42898,23:31:32,22.85,101.82,3.4,5,云南红河州绿春县
2017,6/13,42899,2:50:18,47.34,121.52,3,15,内蒙古呼伦贝尔市扎兰屯市
2017,6/14,42900,3:38:15,33.54,91.2,4.8,11,青海省海西州唐古拉地区
2017,6/14,42900,14:04:07,33.58,91.18,3.8,10,青海省海西州唐古拉地区
2017,6/14,42900,15:29:05,15.11,-91.8,7.1,100,危地马拉
2017,6/15,42901,7:04:23,38.18,76.86,3.1,8,新疆喀什地区莎车县
2017,6/16,42902,9:49:25,43.58,87.95,2.2,6,新疆乌鲁木齐市达坂城区（有感）
2017,6/16,42902,19:48:11,31.06,110.48,4.3,8,湖北宜昌市秭归县
2017,6/17,42903,5:43:07,29.81,95.08,3.2,7,西藏林芝市巴宜区
2017,6/18,42904,14:09:29,33.57,91.18,3.8,10,青海省海西州唐古拉地区
2017,6/18,42904,15:46:16,42.61,79.6,3.1,7,哈萨克斯坦
2017,6/18,42904,16:33:48,38.09,120.75,3.2,7,山东烟台市长岛县海域
2017,6/18,42904,17:39:20,31.04,110.46,4.1,7,湖北恩施州巴东县
2017,6/19,42905,15:31:40,33.78,93.45,3.3,10,青海玉树州治多县
2017,6/20,42906,8:28:01,38.08,120.75,3,7,山东烟台市长岛县海域
2017,6/20,42906,19:22:33,31.98,94.96,3.1,6,西藏昌都市丁青县
